Date,Open,High,Low,Close,Adj Close,Volume
2006-04-19,10.805686,10.977888,10.787473,10.886820,6.873385,10857655
2006-04-20,10.895099,11.176583,10.795752,10.795752,6.815893,10896308
2006-04-21,10.795752,10.795752,10.795752,10.795752,6.815893,0
2006-04-24,10.961331,10.974577,10.679846,10.712962,6.763623,7090270
2006-04-25,10.813965,10.981200,10.694748,10.746078,6.784528,8151998
2006-04-26,11.011004,11.052399,10.638452,11.011004,6.951782,8109723
2006-04-27,10.928215,11.025906,10.772571,10.795752,6.815893,8389951
2006-04-28,10.812309,11.093794,10.799063,10.895099,6.878615,8524026
2006-05-01,10.895099,10.895099,10.895099,10.895099,6.878615,0
2006-05-02,11.012660,11.590531,11.012660,11.340507,7.159819,24767630
2006-05-03,11.458068,11.554103,11.335539,11.424952,7.213132,12650153
2006-05-04,11.424952,11.640205,11.376934,11.580596,7.311402,12551107
2006-05-05,11.565694,11.901819,11.540857,11.901819,7.514201,9322437
2006-05-08,12.022692,12.650237,11.941558,12.196550,7.700285,20004949
2006-05-09,12.203173,12.385310,12.186615,12.228010,7.720148,14468016
2006-05-10,11.994544,12.186615,11.756110,11.921689,7.526752,11890395
2006-05-11,11.921689,12.037594,11.507741,11.557415,7.296765,9822500
2006-05-12,11.671665,11.671665,11.155058,11.646828,7.353217,4810995
2006-05-15,11.554103,11.554103,11.095450,11.095450,7.005104,14523579
2006-05-16,11.275931,11.474626,11.063990,11.209699,7.077235,19724721
2006-05-17,11.080547,11.126910,10.812309,11.012660,6.952838,13347101
2006-05-18,11.078892,11.160025,10.712962,10.812309,6.826345,16502090
2006-05-19,11.060678,11.060678,10.534137,10.605336,6.695673,26500942
2006-05-22,10.179798,10.414920,9.918183,10.100320,6.376830,36407994
2006-05-23,10.199667,10.563941,9.936396,10.002628,6.315155,18364645
2006-05-24,10.020842,10.101975,9.446283,9.885067,6.240931,41269721
2006-05-25,10.075483,10.504332,9.984414,10.398362,6.565002,16876534
2006-05-26,10.605336,10.828867,10.476184,10.828867,6.836797,20229616
2006-05-29,10.878541,10.878541,10.653354,10.671567,6.737489,4100761
2006-05-30,10.510956,10.563941,10.166551,10.166551,6.418645,14417285
2006-05-31,10.279145,10.630173,9.984414,10.017530,6.324555,21194714
2006-06-01,10.183109,10.588778,10.034088,10.580499,6.679988,16469477
2006-06-02,10.762636,10.895099,10.456315,10.663288,6.732261,14028347
2006-06-05,10.613615,10.646730,10.318884,10.332130,6.523185,6800378
2006-06-06,10.289080,10.353656,9.904936,10.067204,6.355923,9698088
2006-06-07,10.153305,10.153305,9.587025,9.593648,6.056942,12737120
2006-06-08,9.603583,9.653256,9.058828,9.404888,5.937766,26394648
2006-06-09,9.636698,9.712865,9.452906,9.454562,5.969134,17092745
2006-06-12,9.522449,9.545630,9.024056,9.040614,5.707787,14766363
2006-06-13,8.909807,9.136650,8.525663,8.716079,5.502888,26220713
2006-06-14,8.722702,8.941267,8.449497,8.717735,5.503937,31146458
2006-06-15,8.717735,8.717735,8.717735,8.717735,5.503937,0
2006-06-16,9.154863,9.438004,9.067107,9.438004,5.958676,21001453
2006-06-19,9.520793,9.537351,9.330377,9.404888,5.937766,17487722
2006-06-20,9.355214,9.702930,9.206193,9.603583,6.063217,16347481
2006-06-21,9.603583,9.986070,9.438004,9.984414,6.303653,22766169
2006-06-22,10.017530,10.017530,9.711209,9.770817,6.168798,10496498
2006-06-23,9.686372,10.000972,9.520793,9.951299,6.282743,11299740
2006-06-26,9.885067,10.090385,9.860230,9.936396,6.273334,15935593
2006-06-27,9.936396,9.967856,9.644977,9.644977,6.089350,19247607
2006-06-28,9.587025,9.736046,9.457873,9.620141,6.073670,13339854
2006-06-29,9.769162,10.280801,9.606894,10.232783,6.460461,16688104
2006-06-30,10.373525,10.529169,10.116878,10.448036,6.596359,14820718
2006-07-03,10.504332,10.926559,10.448036,10.878541,6.868157,7527523
2006-07-04,10.883508,10.992791,10.795752,10.795752,6.815893,4896755
2006-07-05,10.645075,10.746078,10.464594,10.530825,6.648630,11842080
2006-07-06,10.530825,10.704683,10.517579,10.530825,6.648630,13541570
2006-07-07,10.664944,10.664944,10.199667,10.426510,6.582769,8368209
2006-07-10,10.466249,10.554006,10.265899,10.366902,6.545133,5279654
2006-07-11,10.361935,10.597057,10.274178,10.597057,6.690444,10279080
2006-07-12,10.646730,10.646730,10.249341,10.299015,6.502274,9974693
2006-07-13,10.100320,10.216225,9.969512,10.034088,6.335014,6760518
2006-07-14,9.916527,10.100320,9.785720,9.860230,6.225248,9009595
2006-07-17,9.851951,9.934741,9.628419,9.628419,6.078896,8005845
2006-07-18,9.669814,9.845328,9.492645,9.636698,6.084123,8228095
2006-07-19,9.772473,10.479496,9.653256,10.429822,6.584861,15464519
2006-07-20,10.593745,10.630173,10.282457,10.375181,6.550364,9289824
2006-07-21,10.365246,10.514267,10.224504,10.347032,6.532591,5835280
2006-07-24,10.439757,10.762636,10.439757,10.762636,6.794986,8255876
2006-07-25,10.729520,10.996102,10.648386,10.936494,6.904746,12077617
2006-07-26,10.936494,11.116975,10.903378,10.928215,6.899524,9509658
2006-07-27,10.739455,11.077236,10.696404,10.878541,6.868157,11930255
2006-07-28,10.896755,11.193141,10.795752,11.011004,6.951782,12632035
2006-07-31,11.011004,11.174928,10.984512,11.019283,6.957024,11983402
2006-08-01,10.878541,10.911657,10.669912,10.679846,6.742712,12129556
2006-08-02,10.787473,10.787473,10.514267,10.664944,6.733298,14908893
2006-08-03,10.597057,10.646730,10.472872,10.514267,6.638176,16353521
2006-08-04,10.635140,10.959675,10.635140,10.830523,6.837840,12497960
2006-08-07,10.810654,10.810654,10.648386,10.746078,6.784528,5841319
2006-08-08,10.747734,10.845425,10.530825,10.552350,6.662220,10224725
2006-08-09,10.679846,10.832179,10.486119,10.555662,6.664309,11316651
2006-08-10,10.522546,10.739455,10.411608,10.679846,6.742712,8705209
2006-08-11,10.727864,10.812309,10.448036,10.448036,6.596359,8816334
2006-08-14,10.472872,10.563941,10.216225,10.267554,6.482412,7713537
2006-08-15,10.356967,10.752701,10.356967,10.752701,6.788710,12489505
2006-08-16,10.837146,10.986167,10.762636,10.928215,6.899524,18957715
2006-08-17,10.895099,11.060678,10.797407,10.992791,6.940294,11334769
2006-08-18,10.994446,10.994446,10.797407,10.895099,6.878615,7201395
2006-08-21,10.885164,10.885164,10.597057,10.597057,6.690444,4552509
2006-08-22,10.663288,10.746078,10.514267,10.630173,6.711351,9821292
2006-08-23,10.595401,10.663288,10.348688,10.431478,6.585903,8394783
2006-08-24,10.547383,10.547383,9.936396,10.414920,6.575453,8722119
2006-08-25,10.406641,10.457970,10.216225,10.216225,6.450004,5470499
2006-08-28,10.265899,10.656665,10.186421,10.636796,6.715534,7354796
2006-08-29,10.573876,10.765947,10.522546,10.597057,6.690444,4709533
2006-08-30,10.597057,10.762636,10.595401,10.663288,6.732261,6640937
2006-08-31,10.679846,10.853704,10.608647,10.681502,6.743757,12798722
2006-09-01,10.712962,11.133533,10.712962,11.060678,6.983151,12038964
2006-09-04,11.078892,11.110352,11.011004,11.054055,6.978972,5306227
2006-09-05,11.054055,11.054055,10.878541,10.895099,6.878615,7946658
2006-09-06,10.845425,10.845425,10.625205,10.648386,6.722852,10173994
2006-09-07,10.648386,10.648386,10.648386,10.648386,6.722852,0
2006-09-08,10.646730,10.727864,10.558974,10.630173,6.711351,5383532
2006-09-11,10.464594,10.683158,10.398362,10.467905,6.608906,5628732
2006-09-12,10.497709,10.928215,10.489430,10.926559,6.898473,18619508
2006-09-13,10.931526,11.226257,10.931526,11.110352,7.014508,18082001
2006-09-14,11.093794,11.164993,10.944773,10.961331,6.920428,7967192
2006-09-15,11.044120,11.123598,10.962986,11.075580,6.992557,7157911
2006-09-18,11.057366,11.257717,11.011004,11.112007,7.015554,6825744
2006-09-19,11.060678,11.121942,10.729520,11.007693,6.949703,10355176
